id,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
1689,Adelie,Torgersen,39.1,18.7,181,3750,male,2007
4274,Adelie,Torgersen,NA,17.4,186,3800,female,2007
4539,Adelie,Torgersen,40.3,18,195,3250,female,2007
2435,Adelie,Torgersen,36.7,19.3,193,3450,female,2007
2326,Adelie,Torgersen,39.3,20.6,190,3650,male,2007
2637,Adelie,Torgersen,38.9,17.8,181,3625,female,2007
4443,Adelie,Torgersen,NA,19.6,195,4675,male,2007
2102,Adelie,Torgersen,34.1,18.1,193,3475,NA,2007
2975,Adelie,Torgersen,42,20.2,190,4250,NA,2007
3966,Adelie,Torgersen,37.8,17.1,186,3300,NA,2007
4648,Adelie,Torgersen,37.8,17.3,180,3700,NA,2007
2887,Adelie,Torgersen,41.1,17.6,182,3200,female,2007
4939,Adelie,Torgersen,38.6,21.2,191,3800,male,2007
2849,Adelie,Torgersen,34.6,21.1,198,4400,male,2007
4743,Adelie,Torgersen,36.6,17.8,185,3700,female,2007
4573,Adelie,Torgersen,38.7,19,195,3450,female,2007
1669,Adelie,Torgersen,42.5,20.7,197,4500,male,2007
4953,Adelie,Torgersen,34.4,18.4,184,3325,female,2007
4856,Adelie,Torgersen,46,21.5,194,4200,male,2007
4927,Adelie,Biscoe,37.8,18.3,174,3400,female,2007
3624,Adelie,Biscoe,37.7,18.7,180,3600,male,2007
2144,Adelie,Biscoe,35.9,19.2,189,3800,female,2007
4359,Adelie,Biscoe,38.2,18.1,185,3950,male,2007
4635,Adelie,Biscoe,38.8,17.2,180,3800,male,2007
4969,Adelie,Biscoe,35.3,18.9,187,3800,female,2007
4383,Adelie,Biscoe,40.6,18.6,183,3550,male,2007
1900,Adelie,Biscoe,40.5,17.9,187,3200,female,2007
4250,Adelie,Biscoe,37.9,18.6,172,3150,female,2007
1076,Adelie,Biscoe,40.5,18.9,180,3950,male,2007
1320,Adelie,Dream,39.5,16.7,178,3250,female,2007
2594,Adelie,Dream,37.2,18.1,178,3900,male,2007
2767,Adelie,Dream,39.5,17.8,188,3300,female,2007
4382,Adelie,Dream,40.9,18.9,184,3900,male,2007
4483,Adelie,Dream,36.4,17,195,3325,female,2007
1319,Adelie,Dream,39.2,21.1,196,4150,male,2007
2533,Adelie,Dream,38.8,20,190,3950,male,2007
3829,Adelie,Dream,NA,18.5,180,3550,female,2007
4625,Adelie,Dream,37.6,19.3,181,3300,female,2007
3260,Adelie,Dream,39.8,19.1,184,4650,male,2007
4561,Adelie,Dream,36.5,18,182,3150,female,2007
3859,Adelie,Dream,40.8,18.4,195,3900,male,2007
1982,Adelie,Dream,36,18.5,186,3100,female,2007
1823,Adelie,Dream,44.1,19.7,196,4400,male,2007
4598,Adelie,Dream,37,16.9,185,3000,female,2007
1278,Adelie,Dream,39.6,18.8,190,4600,male,2007
2013,Adelie,Dream,41.1,19,182,3425,male,2007
2209,Adelie,Dream,37.5,18.9,179,2975,NA,2007
3655,Adelie,Dream,36,17.9,190,3450,female,2007
2235,Adelie,Dream,42.3,21.2,191,4150,male,2007
2306,Adelie,Biscoe,39.6,17.7,186,3500,female,2008
4604,Adelie,Biscoe,40.1,18.9,188,4300,male,2008
2891,Adelie,Biscoe,35,17.9,190,3450,female,2008
3443,Adelie,Biscoe,42,19.5,200,4050,male,2008
3460,Adelie,Biscoe,34.5,18.1,187,2900,female,2008
2918,Adelie,Biscoe,41.4,18.6,191,3700,male,2008
3749,Adelie,Biscoe,39,17.5,186,3550,female,2008
4822,Adelie,Biscoe,40.6,18.8,193,3800,male,2008
1593,Adelie,Biscoe,36.5,16.6,181,2850,female,2008
3548,Adelie,Biscoe,37.6,19.1,194,3750,male,2008
1137,Adelie,Biscoe,35.7,16.9,185,3150,female,2008
1306,Adelie,Biscoe,41.3,21.1,195,4400,male,2008
