record,age,sex,grade,race4,race7,bmi,stweight
931897,15 years old,Female,10th,White,White,17.179000000000002,54.43
333862,17 years old,Female,12th,White,White,20.248699999999996,57.15
36253,18 years old or older,Male,11th,Hispanic/Latino,Hispanic/Latino,NA,NA
1095530,15 years old,Male,10th,Black or African American,Black or African American,27.993499999999997,85.73
1303997,14 years old,Male,9th,All other races,Multiple - Non-Hispanic,24.492199999999997,66.67999999999999
261619,17 years old,Male,9th,All other races,NA,NA,NA
926649,16 years old,Male,11th,All other races,Asian,20.543499999999998,70.31
1309082,17 years old,Male,12th,White,White,19.255499999999998,58.97
506337,18 years old or older,Male,12th,Hispanic/Latino,Hispanic/Latino,33.123000000000005,123.38
180494,14 years old,Male,10th,Black or African American,Black or African American,NA,NA
1096939,15 years old,Male,9th,NA,NA,17.072499999999998,45.36
1307180,16 years old,Male,10th,Hispanic/Latino,Hispanic/Latino,21.7731,66.67999999999999
31226,15 years old,Male,10th,All other races,NA,NA,NA
109404,16 years old,Male,11th,White,White,NA,NA
180968,15 years old,Male,9th,White,White,NA,NA
1312128,15 years old,Female,10th,White,White,21.975299999999997,65.77
770177,16 years old,Female,10th,White,White,32.4363,86.17999999999999
938291,18 years old or older,Female,12th,White,White,21.671300000000002,64.86
1306691,16 years old,Male,11th,White,White,28.2715,102.06
271853,18 years old or older,Female,11th,White,White,NA,NA
1316277,18 years old or older,Female,12th,White,White,21.598,49.9
326942,17 years old,Male,11th,All other races,Am Indian / Alaska Native,21.697800000000004,61.24
1103656,15 years old,Female,10th,All other races,Multiple - Non-Hispanic,20.8288,55.339999999999996
924270,15 years old,Male,9th,All other races,Asian,30.7313,81.64999999999999
330828,15 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,20.375,52.160000000000004
1307358,16 years old,Male,10th,Black or African American,Black or African American,24.875,97.52
1105438,16 years old,Female,11th,All other races,Multiple - Non-Hispanic,30.7313,81.64999999999999
1101972,18 years old or older,Male,12th,White,White,21.7618,68.95
1311252,15 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,NA,NA
1101441,18 years old or older,Male,12th,Hispanic/Latino,Hispanic/Latino,21.697800000000004,61.24
119528,16 years old,Female,12th,Hispanic/Latino,Hispanic/Latino,NA,NA
36853,14 years old,Female,9th,All other races,NA,NA,NA
500128,15 years old,Male,10th,All other races,Am Indian / Alaska Native,23.9239,58.97
1310689,14 years old,Female,9th,Hispanic/Latino,Hispanic/Latino,22.4512,55.339999999999996
1310726,14 years old,Female,9th,All other races,Asian,30.7313,81.64999999999999
1306629,16 years old,Male,10th,Hispanic/Latino,Hispanic/Latino,27.317600000000002,72.58
936633,17 years old,Female,11th,All other races,Asian,19.6925,48.54
1107831,17 years old,Female,11th,All other races,Asian,24.5412,56.7
