country,population,four_regions,eight_regions,six_regions,WorldRegions,Measures,Values
Afghanistan,29700000,asia,asia_west,south_asia,Asia,CO2emissions,0.412
Afghanistan,29700000,asia,asia_west,south_asia,Asia,ElectricityUsePP,NA
Afghanistan,29700000,asia,asia_west,south_asia,Asia,FoodSupplykcPPD,2110
Afghanistan,29700000,asia,asia_west,south_asia,Asia,IncomePP,1660
Afghanistan,29700000,asia,asia_west,south_asia,Asia,LifeExpectancyYrs,56.7
Afghanistan,29700000,asia,asia_west,south_asia,Asia,FemaleLiteracyRate,13
Afghanistan,29700000,asia,asia_west,south_asia,Asia,WaterSourcePrct,52.6
Albania,2930000,europe,europe_east,europe_central_asia,Europe,CO2emissions,1.79
Albania,2930000,europe,europe_east,europe_central_asia,Europe,ElectricityUsePP,2210
Albania,2930000,europe,europe_east,europe_central_asia,Europe,FoodSupplykcPPD,3130
Albania,2930000,europe,europe_east,europe_central_asia,Europe,IncomePP,10200
Albania,2930000,europe,europe_east,europe_central_asia,Europe,LifeExpectancyYrs,76.7
Albania,2930000,europe,europe_east,europe_central_asia,Europe,FemaleLiteracyRate,95.7
Albania,2930000,europe,europe_east,europe_central_asia,Europe,WaterSourcePrct,88.1
Algeria,36800000,africa,africa_north,middle_east_north_africa,Africa,CO2emissions,3.29
Algeria,36800000,africa,africa_north,middle_east_north_africa,Africa,ElectricityUsePP,1120
Algeria,36800000,africa,africa_north,middle_east_north_africa,Africa,FoodSupplykcPPD,3220
Algeria,36800000,africa,africa_north,middle_east_north_africa,Africa,IncomePP,13000
Algeria,36800000,africa,africa_north,middle_east_north_africa,Africa,LifeExpectancyYrs,76.7
Algeria,36800000,africa,africa_north,middle_east_north_africa,Africa,FemaleLiteracyRate,NA
Algeria,36800000,africa,africa_north,middle_east_north_africa,Africa,WaterSourcePrct,92.6
Andorra,83800,europe,europe_west,europe_central_asia,Europe,CO2emissions,5.87
Andorra,83800,europe,europe_west,europe_central_asia,Europe,ElectricityUsePP,NA
Andorra,83800,europe,europe_west,europe_central_asia,Europe,FoodSupplykcPPD,NA
Andorra,83800,europe,europe_west,europe_central_asia,Europe,IncomePP,42000
Andorra,83800,europe,europe_west,europe_central_asia,Europe,LifeExpectancyYrs,82.6
Andorra,83800,europe,europe_west,europe_central_asia,Europe,FemaleLiteracyRate,NA
Andorra,83800,europe,europe_west,europe_central_asia,Europe,WaterSourcePrct,100
Angola,24200000,africa,africa_sub_saharan,sub_saharan_africa,Africa,CO2emissions,1.25
Angola,24200000,africa,africa_sub_saharan,sub_saharan_africa,Africa,ElectricityUsePP,207
Angola,24200000,africa,africa_sub_saharan,sub_saharan_africa,Africa,FoodSupplykcPPD,2410
